approx_playtime,song_id,artist,song_name
"2021-11-24 23:03","song-186919","Kristian Stanfill","My Heart Is Yours (feat. Kristian Stanfill)"
"2021-11-24 23:07","song-188530","Jeremy Camp","When You Speak"
"2021-11-24 23:10","song-188026","Phil Wickham","Battle Belongs"
"2021-11-24 23:14","song-188569","Riley Clemmons","For The Good"
"2021-11-24 23:21","song-187105","Unspoken","Start A Fire"
"2021-11-24 23:24","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-24 23:28","song-183635","TobyMac","Everything"
"2021-11-24 23:32","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-24 23:34","song-188450","Lauren Daigle","Hold On To Me"
"2021-11-24 23:37","song-184150","MercyMe","God With Us"
"2021-11-24 23:42","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-24 23:48","song-184477","Jeremy Camp","Keep Me In The Moment"
"2021-11-24 23:51","song-188539","Crowder","In The house"
"2021-11-24 23:55","song-186581","Francesca Battistelli","He Knows My Name"
"2021-11-24 23:58","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-25 00:02","song-188018","Casting Crowns","Start Right Here"
"2021-11-25 00:05","song-185211","Matthew West","Strong Enough"
"2021-11-25 00:09","song-188555","for KING & COUNTRY","Relate"
"2021-11-25 00:12","song-185005","Michael W. Smith","Mighty To Save"
"2021-11-25 00:18","song-188580","Zach Williams","Heaven Help Me"
"2021-11-25 00:21","song-188557","We Are Messengers","Come What May"
"2021-11-25 00:24","song-187572","Micah Tyler","Even Then"
"2021-11-25 00:27","song-188495","Phil Wickham","House Of The Lord"
"2021-11-25 00:32","song-188561","Jordan St. Cyr","Weary Traveler"
"2021-11-25 00:35","song-187614","Elevation Worship","See A Victory"
"2021-11-25 00:39","song-188514","Blanca","Even At My Worst"
"2021-11-25 00:46","song-185486","The Afters","Well Done"
"2021-11-25 00:49","song-183330","Chris Tomlin","At The Cross (Love Ran Red)"
"2021-11-25 00:54","song-188560","Danny Gokey","Stand In Faith"
"2021-11-25 00:57","song-188540","NEEDTOBREATHE","I Am Yours"
"2021-11-25 01:01","song-187972","We The Kingdom","God So Loved"
"2021-11-25 01:05","song-188505","Tasha Layton","Look What You've Done"
"2021-11-25 01:09","song-183875","Lincoln Brewster","Made New"
"2021-11-25 01:12","song-188536","Mike Donehey","All Together"
"2021-11-25 01:18","song-186546","Josh Wilson","I Refuse"
"2021-11-25 01:22","song-188559","TobyMac","Promised Land"
"2021-11-25 01:25","song-187512","Jordan Feliz","Changed"
"2021-11-25 01:28","song-187210","Hillsong United","Another In The Fire"
"2021-11-25 01:32","song-188530","Jeremy Camp","When You Speak"
"2021-11-25 01:39","song-188563","Sanctus Real","My God Is Still The Same"
"2021-11-25 01:44","song-184117","Big Daddy Weave","I Know"
"2021-11-25 01:48","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-25 01:51","song-187559","Zach Williams","Old Church Choir"
"2021-11-25 01:54","song-188492","CAIN","Yes He Can"
"2021-11-25 01:57","song-187554","Tauren Wells","God's Not Done With You"
"2021-11-25 02:01","song-188027","Matthew West","Truth Be Told"
"2021-11-25 02:04","song-186789","Sidewalk Prophets","Prodigal"
"2021-11-25 02:08","song-188562","Mac Powell","River of Life"
"2021-11-25 02:10","song-187138","Colton Dixon","More Of You"
"2021-11-25 02:16","song-188539","Crowder","In The house"
"2021-11-25 02:19","song-185631","Phil Wickham","Your Love Awakens Me"
"2021-11-25 02:23","song-188555","for KING & COUNTRY","Relate"
"2021-11-25 02:26","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-25 02:29","song-188570","Jon Reddick","God, Turn It Around (feat. Matt Maher)"
"2021-11-25 02:33","song-187967","Danny Gokey","Love God, Love People"
"2021-11-25 02:36","song-188557","We Are Messengers","Come What May"
"2021-11-25 02:42","song-183314","Passion","Our God (feat. Chris Tomlin)"
"2021-11-25 02:47","song-184470","Jeremy Camp","He Knows"
"2021-11-25 02:50","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-25 02:54","song-188365","for KING & COUNTRY","Amen"
"2021-11-25 02:57","song-187554","Tauren Wells","God's Not Done With You"
"2021-11-25 03:01","song-184183","MercyMe","Almost Home"
"2021-11-25 03:05","song-188514","Blanca","Even At My Worst"
"2021-11-25 03:09","song-188333","Crowder","Good God Almighty"
